instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
t84_kroA100,,,,,,,,,,,92,92
t62_rat99,,,,,,,,,,,112,112
t62_ulysses22,0.3s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.3,20,20
at62_ftv33,1.5s,7.0,7.0,7.0,0.0,7.0,7.0,1,,1.49,35,35
at62_ry48p,,,,,,,,,,,43,43
t84_kroC100,,,,,,,,,,,83,83
t84_burma14,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.09,5,5
t62_eil76,,,,,,,,,,,81,81
at84_ftv70,,9.0,,9.0,0.0,9.0,9.0,1,,142.88,53,53
t84_hk48,2.9s,9.0,9.0,9.0,0.0,9.0,9.0,1,,2.93,37,37
t62_swiss42,53.4s,6.0,6.0,6.0,0.0,6.0,6.0,1,,53.38,51,51
t62_pr76,,,,,,,,,,,397,397
at62_ftv64,,,,,,,,,,,90,90
at84_ftv33,0.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.21,13,13
t62_rd100,,,,,,,,,,,124,124
t84_ulysses22,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.15,13,13
at84_ry48p,15.0s,8.0,8.0,8.0,0.0,8.0,8.0,1,,15.01,40,40
t62_gr48,,6.0,,6.0,0.0,6.0,6.0,1,,166.03,64,64
t62_burma14,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.12,12,12
t84_gr17,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.1,12,12
t84_eil51,7.5s,8.0,9.0,9.0,12.5,9.0,8.0,2919,,7200.18,9662,38
t62_bays29,0.9s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.86,27,27
t84_gr96,,,,,,,,,,,78,78
t84_gr21,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.08,10,10
t62_gr21,0.2s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.17,13,13
t62_kroA100,,,,,,,,,,,199,199
t84_dantzig42,1.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.07,23,23
t62_bayg29,1.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,1.12,17,17
t84_brazil58,,7.0,,8.0,14.29,8.0,7.0,1,,,135,62
at84_ftv47,1.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,1.1,28,28
t62_ulysses16,0.1s,4.0,4.0,4.0,0.0,4.0,4.0,1,,0.12,15,15
at62_ft53,,,,,,,,,,,39,39
t62_gr17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.13,15,15
at62_ftv70,,,,,,,,,,,129,129
at62_ft70,,,,,,,,,,,80,80
at84_p43,3.1s,2.0,2.0,2.0,0.0,2.0,2.0,1,,3.05,14,14
t62_dantzig42,16.1s,6.0,7.0,7.0,0.0,6.0,6.0,61,,147.15,444,51
t62_hk48,,,,,,,,,,,61,61
